geoid,geography,short_name,county,poverty_rate_total,poverty_rate_deep,poverty_rate_notdeep,child_poverty_rate_total,child_poverty_rate_deep,child_poverty_rate_notdeep
5000369775,county subdivision,Stamford , Bennington County,9.4,3.1,6.3,13.3,1,12.4
5001917350,county subdivision,Derby , Orleans County,9.4,4.8,4.5,6.3,2.9,3.4
5002144800,county subdivision,Middle, Rutland County,9.3,2.2,7.1,11.4,,11.4
5002543375,county subdivision,Marlboro , Windham County,9.3,3.8,5.4,2.2,,2.2
5002548400,county subdivision,Newfane , Windham County,9.3,3.7,5.5,6.2,2.7,3.6
5000583500,county subdivision,Wheelock , Caledonia County,9.2,1.8,7.4,9.8,,9.8
5002785975,county subdivision,Woodstock , Windsor County,9.2,2.9,6.4,27.2,8.9,18.3
5000140075,county subdivision,Lincoln , Addison County,9.1,3,6.1,4.5,2.6,1.9
5002107750,county subdivision,Brandon , Rutland County,9.1,2,7.1,,,
5002303250,county subdivision,Barre , Washington County,9.1,2.7,6.4,11,0.6,10.3
5002305650,county subdivision,Berlin , Washington County,9.1,5.4,3.8,8.9,6.9,2
